family	prime	label	total_sing	node_like	bad_sing	base_like	extra_like	score	tags
critical-profile-eight-line	31	normal10-layered-002103-pair-c5-9	121	121	0	0	121	121	route=critical-value-profile;family=normal10;sample=lcg;seed=1;params=15,3,-3,14,-5,-14,-4,-11,5,-15;model=alpha*Q_h(x,y,w)+T8_h(z,w)+lambda*w^8;alpha=11;lambda=1;primary_value=0;secondary_value=28;primary_morse=28;secondary_morse=3;predicted_affine_nodes=121;selected_degenerate=0;zero_morse=28;best_nonzero_morse=3;total_critical_visible=32;morse_critical_visible=32;degenerate_critical_visible=0;profile=0:28,28:3,20:1;quality_pairs=28;quality_triples=56;parallel_pairs=0;concurrent_triples=0;infinity_degenerate_lines=0;orbit_profile=1:121
critical-profile-eight-line	31	normal10-layered-002103	118	118	0	0	118	118	route=critical-value-profile;family=normal10;sample=lcg;seed=1;params=15,3,-3,14,-5,14,-4,-11,5,10;model=alpha*Q_h(x,y,w)+T8_h(z,w)+lambda*w^8;alpha=19;lambda=1;primary_value=0;secondary_value=26;primary_morse=28;secondary_morse=2;predicted_affine_nodes=118;selected_degenerate=0;zero_morse=28;best_nonzero_morse=2;total_critical_visible=30;morse_critical_visible=30;degenerate_critical_visible=0;profile=0:28,26:2;quality_pairs=28;quality_triples=56;parallel_pairs=0;concurrent_triples=0;infinity_degenerate_lines=0;orbit_profile=1:118
critical-profile-eight-line	31	normal10-layered-006574	118	118	0	0	118	118	route=critical-value-profile;family=normal10;sample=lcg;seed=1;params=12,3,-11,10,-12,1,13,7,-15,-8;model=alpha*Q_h(x,y,w)+T8_h(z,w)+lambda*w^8;alpha=21;lambda=1;primary_value=0;secondary_value=25;primary_morse=28;secondary_morse=2;predicted_affine_nodes=118;selected_degenerate=0;zero_morse=28;best_nonzero_morse=2;total_critical_visible=30;morse_critical_visible=30;degenerate_critical_visible=0;profile=0:28,25:2;quality_pairs=28;quality_triples=56;parallel_pairs=0;concurrent_triples=0;infinity_degenerate_lines=0;orbit_profile=1:118
critical-profile-eight-line	31	normal10-layered-009849	118	118	0	0	118	118	route=critical-value-profile;family=normal10;sample=lcg;seed=1;params=-14,5,-8,11,-11,-2,15,11,-11,7;model=alpha*Q_h(x,y,w)+T8_h(z,w)+lambda*w^8;alpha=19;lambda=1;primary_value=0;secondary_value=26;primary_morse=28;secondary_morse=2;predicted_affine_nodes=118;selected_degenerate=0;zero_morse=28;best_nonzero_morse=2;total_critical_visible=31;morse_critical_visible=31;degenerate_critical_visible=0;profile=0:28,26:2,14:1;quality_pairs=28;quality_triples=56;parallel_pairs=0;concurrent_triples=0;infinity_degenerate_lines=0;orbit_profile=1:118
critical-profile-eight-line	31	normal10-layered-011038	118	118	0	0	118	118	route=critical-value-profile;family=normal10;sample=lcg;seed=1;params=11,-12,13,7,-9,15,-15,9,-7,-14;model=alpha*Q_h(x,y,w)+T8_h(z,w)+lambda*w^8;alpha=27;lambda=1;primary_value=0;secondary_value=16;primary_morse=28;secondary_morse=2;predicted_affine_nodes=118;selected_degenerate=0;zero_morse=28;best_nonzero_morse=2;total_critical_visible=31;morse_critical_visible=31;degenerate_critical_visible=0;profile=0:28,16:2,21:1;quality_pairs=28;quality_triples=56;parallel_pairs=0;concurrent_triples=0;infinity_degenerate_lines=0;orbit_profile=1:118
critical-profile-eight-line	31	normal10-layered-011934	118	118	0	0	118	118	route=critical-value-profile;family=normal10;sample=lcg;seed=1;params=9,-11,8,6,-8,6,-12,7,15,-10;model=alpha*Q_h(x,y,w)+T8_h(z,w)+lambda*w^8;alpha=17;lambda=1;primary_value=0;secondary_value=9;primary_morse=28;secondary_morse=2;predicted_affine_nodes=118;selected_degenerate=0;zero_morse=28;best_nonzero_morse=2;total_critical_visible=30;morse_critical_visible=30;degenerate_critical_visible=0;profile=0:28,9:2;quality_pairs=28;quality_triples=56;parallel_pairs=0;concurrent_triples=0;infinity_degenerate_lines=0;orbit_profile=1:118
critical-profile-eight-line	31	normal10-layered-011963	118	118	0	0	118	118	route=critical-value-profile;family=normal10;sample=lcg;seed=1;params=9,-11,8,6,-8,3,15,-2,11,8;model=alpha*Q_h(x,y,w)+T8_h(z,w)+lambda*w^8;alpha=18;lambda=1;primary_value=0;secondary_value=24;primary_morse=28;secondary_morse=2;predicted_affine_nodes=118;selected_degenerate=0;zero_morse=28;best_nonzero_morse=2;total_critical_visible=31;morse_critical_visible=31;degenerate_critical_visible=0;profile=0:28,24:2,23:1;quality_pairs=28;quality_triples=56;parallel_pairs=0;concurrent_triples=0;infinity_degenerate_lines=0;orbit_profile=1:118
critical-profile-eight-line	31	normal10-layered-012178	118	118	0	0	118	118	route=critical-value-profile;family=normal10;sample=lcg;seed=1;params=3,13,-8,6,-14,7,15,3,1,10;model=alpha*Q_h(x,y,w)+T8_h(z,w)+lambda*w^8;alpha=11;lambda=1;primary_value=0;secondary_value=28;primary_morse=28;secondary_morse=2;predicted_affine_nodes=118;selected_degenerate=0;zero_morse=28;best_nonzero_morse=2;total_critical_visible=30;morse_critical_visible=30;degenerate_critical_visible=0;profile=0:28,28:2;quality_pairs=28;quality_triples=56;parallel_pairs=0;concurrent_triples=0;infinity_degenerate_lines=0;orbit_profile=1:118
critical-profile-eight-line	31	normal10-layered-016725	118	118	0	0	118	118	route=critical-value-profile;family=normal10;sample=lcg;seed=1;params=12,6,-4,11,10,-8,9,-12,8,10;model=alpha*Q_h(x,y,w)+T8_h(z,w)+lambda*w^8;alpha=20;lambda=1;primary_value=0;secondary_value=3;primary_morse=28;secondary_morse=2;predicted_affine_nodes=118;selected_degenerate=0;zero_morse=28;best_nonzero_morse=2;total_critical_visible=31;morse_critical_visible=31;degenerate_critical_visible=0;profile=0:28,3:2,16:1;quality_pairs=28;quality_triples=56;parallel_pairs=0;concurrent_triples=0;infinity_degenerate_lines=0;orbit_profile=1:118
critical-profile-eight-line	31	normal10-layered-017985	118	118	0	0	118	118	route=critical-value-profile;family=normal10;sample=lcg;seed=1;params=-1,13,-11,12,7,8,12,3,15,-6;model=alpha*Q_h(x,y,w)+T8_h(z,w)+lambda*w^8;alpha=27;lambda=1;primary_value=0;secondary_value=16;primary_morse=28;secondary_morse=2;predicted_affine_nodes=118;selected_degenerate=0;zero_morse=28;best_nonzero_morse=2;total_critical_visible=30;morse_critical_visible=30;degenerate_critical_visible=0;profile=0:28,16:2;quality_pairs=28;quality_triples=56;parallel_pairs=0;concurrent_triples=0;infinity_degenerate_lines=0;orbit_profile=1:118
critical-profile-eight-line	31	normal10-layered-018015	118	118	0	0	118	118	route=critical-value-profile;family=normal10;sample=lcg;seed=1;params=7,-12,2,-7,14,-12,-7,12,-15,14;model=alpha*Q_h(x,y,w)+T8_h(z,w)+lambda*w^8;alpha=11;lambda=1;primary_value=0;secondary_value=28;primary_morse=28;secondary_morse=2;predicted_affine_nodes=118;selected_degenerate=0;zero_morse=28;best_nonzero_morse=2;total_critical_visible=30;morse_critical_visible=30;degenerate_critical_visible=0;profile=0:28,28:2;quality_pairs=28;quality_triples=56;parallel_pairs=0;concurrent_triples=0;infinity_degenerate_lines=0;orbit_profile=1:118
critical-profile-eight-line	31	normal10-layered-019517	118	118	0	0	118	118	route=critical-value-profile;family=normal10;sample=lcg;seed=1;params=15,-2,5,-5,-8,-14,-11,13,-9,14;model=alpha*Q_h(x,y,w)+T8_h(z,w)+lambda*w^8;alpha=19;lambda=1;primary_value=0;secondary_value=26;primary_morse=28;secondary_morse=2;predicted_affine_nodes=118;selected_degenerate=0;zero_morse=28;best_nonzero_morse=2;total_critical_visible=31;morse_critical_visible=31;degenerate_critical_visible=0;profile=0:28,26:2,18:1;quality_pairs=28;quality_triples=56;parallel_pairs=0;concurrent_triples=0;infinity_degenerate_lines=0;orbit_profile=1:118
